,goalsPerGame,goalsAgainstPerGame,powerPlayPercentage,penaltyKillPercentage,shotsPerGame,shotsAllowed,shootingPctg,savePctg,savesPerGame,failedShotsPerGame,ties,winScoreFirstGreater61_high,aboveMeanAdjWins
0,2.888,4.375,14.3,75.3,26.3875,32.0,10.9,86.3,27.616,23.5112625,7,0,-19.470588235294116
1,4.463,3.363,22.5,81.5,30.275,33.3875,14.7,89.9,30.015362500000002,25.824575,4,1,12.029411764705884
2,3.925,3.8,25.1,78.1,31.8875,31.55,12.3,88.0,27.764,27.9653375,9,1,6.529411764705884
3,4.375,3.625,20.2,76.6,36.75,28.65,11.9,87.3,25.01145,32.37675,10,1,9.029411764705884
4,3.175,4.875,20.9,76.0,28.3375,36.35,11.2,86.6,31.479100000000003,25.1637,6,0,-20.970588235294116
5,4.2,3.263,24.0,83.1,29.9625,26.175,14.0,87.5,22.903125,25.76775,6,1,12.029411764705884
6,3.938,3.213,22.0,82.0,29.8625,26.8375,13.2,88.0,23.616999999999997,25.920650000000002,7,1,11.529411764705884
7,3.575,3.688,20.1,79.7,28.65,25.7,12.5,85.7,22.0249,25.068749999999998,5,1,-2.470588235294116
8,3.788,4.838,21.7,73.6,29.3625,35.4,12.9,86.3,30.550199999999997,25.5747375,9,0,-9.470588235294116
9,3.85,2.825,20.2,86.4,31.675,24.425,12.2,88.4,21.5917,27.81065,5,1,10.529411764705884
10,3.463,3.888,20.2,78.3,30.65,31.6,11.3,87.7,27.7132,27.18655,8,0,-5.970588235294116
11,3.725,4.038,22.2,75.2,29.1,28.925,12.8,86.0,24.8755,25.3752,7,0,-5.470588235294116
12,3.663,3.95,22.4,74.8,30.325,30.0,12.1,86.8,26.04,26.655675,7,1,-4.470588235294116
13,3.888,3.925,21.6,80.2,32.0625,32.8625,12.1,88.1,28.951862499999997,28.1829375,14,0,1.029411764705884
14,5.575,3.925,25.5,79.7,32.6375,33.0125,17.1,88.1,29.084012500000004,27.0564875,5,1,19.529411764705884
15,3.825,4.1,24.7,76.4,31.175,29.4125,12.3,86.1,25.3241625,27.340475,9,0,-3.470588235294116
16,3.863,4.7,20.8,72.1,30.8875,31.6875,12.5,85.2,26.99775,27.0265625,13,0,-10.470588235294116
17,3.3,4.325,19.4,76.7,29.6875,29.9125,11.1,85.5,25.575187500000002,26.392187500000002,10,0,-13.058823529411768
18,4.313,3.9,25.1,82.2,30.1875,32.4125,14.3,88.0,28.523,25.8706875,6,1,2.941176470588232
19,3.688,4.313,24.0,80.6,29.8,35.1125,12.4,87.7,30.793662499999996,26.1048,10,0,-9.058823529411768
20,4.35,3.013,22.3,79.8,33.7,29.825,12.9,89.9,26.812675,29.352700000000002,7,1,16.441176470588232
21,3.45,4.813,17.3,76.0,28.125,37.0375,12.3,87.0,32.222625,24.665625,5,0,-13.558823529411768
22,3.788,3.588,21.8,79.8,30.0,27.2125,12.6,86.8,23.620449999999998,26.22,10,0,0.941176470588232
23,3.625,2.963,24.1,82.4,28.8625,23.7625,12.6,87.5,20.7921875,25.225825,14,0,4.941176470588232
24,3.863,3.275,24.0,79.2,30.2,24.65,12.8,86.7,21.37155,26.3344,12,1,6.941176470588232
25,3.163,4.475,19.8,73.9,29.075,32.875,10.9,86.4,28.404,25.905825,8,0,-16.058823529411768
26,4.025,3.0,23.8,77.1,31.925,25.8,12.6,88.4,22.8072,27.90245,9,1,10.441176470588232
27,3.863,3.738,21.8,77.2,29.9625,33.1375,12.9,88.7,29.392962500000003,26.0973375,7,1,1.441176470588232
28,3.913,4.463,22.1,73.3,28.425,31.5,13.8,85.8,27.027,24.50235,12,0,-7.058823529411768
29,3.738,3.6,21.9,76.1,31.075,29.8125,12.0,87.9,26.2051875,27.346,12,0,2.941176470588232
30,4.538,3.775,24.8,74.2,34.9375,31.2,13.0,87.9,27.4248,30.395625,12,1,6.941176470588232
31,5.013,3.725,25.7,78.3,32.4375,32.85,15.5,88.7,29.13795,27.4096875,11,1,14.441176470588232
32,3.55,5.013,19.5,70.5,31.1625,33.2625,11.4,84.89999999999999,28.2398625,27.609975000000002,9,0,-10.558823529411768
33,4.238,4.075,23.5,81.9,31.8875,30.3375,13.3,86.6,26.272274999999997,27.6464625,14,0,0.941176470588232
34,3.75,4.675,19.6,74.2,29.175,31.1625,12.9,85.0,26.488125,25.411425,3,0,-10.5
35,4.088,3.55,22.7,78.4,29.4,33.2375,13.9,89.3,29.681087499999997,25.313399999999998,12,0,5.0
36,3.5,3.45,20.1,77.8,31.825,29.975,11.0,88.5,26.527875,28.32425,6,0,-1.0
37,4.188,3.013,23.6,82.8,34.125,28.8875,12.3,89.60000000000001,25.8832,29.927625,4,1,15.0
38,3.913,3.813,22.5,77.0,30.225,31.1125,12.9,87.7,27.2856625,26.325975,8,0,-2.0
39,3.888,3.6,22.6,76.0,30.7625,27.2875,12.6,86.8,23.685550000000003,26.886425,12,0,3.0
40,3.7,3.638,21.6,80.5,29.975,29.8875,12.3,87.8,26.241225,26.288075000000003,6,0,0.0
41,4.125,3.5,25.2,79.3,29.425,27.1125,14.0,87.1,23.6149875,25.3055,7,1,3.5
42,3.888,4.825,18.3,77.3,31.325,34.6625,12.4,86.1,29.8444125,27.4407,7,0,-11.5
43,3.938,3.4,22.8,81.0,30.3,27.7,13.0,87.7,24.2929,26.361,7,1,13.5
44,4.388,4.363,25.9,77.9,32.4375,34.8875,13.5,87.5,30.526562500000004,28.0584375,8,1,3.0
45,3.325,5.188,20.9,71.0,28.5,32.85,11.7,84.2,27.6597,25.1655,6,0,-20.0
46,3.775,3.638,21.6,77.2,31.4375,32.25,12.0,88.7,28.60575,27.665,9,0,1.5
47,4.425,3.938,24.3,76.2,34.5625,31.425,12.8,87.5,27.496875,30.1385,9,1,4.5
48,5.325,3.875,26.3,81.1,33.0625,34.725,16.1,88.8,30.835800000000003,27.739437499999998,7,1,19.5
49,3.525,4.163,21.2,78.6,29.525,30.1875,11.9,86.2,26.021625,26.011525,13,0,-10.5
50,3.55,4.863,17.5,71.9,30.3,32.625,11.7,85.1,27.763875,26.7549,8,0,-13.0
51,3.663,4.6,21.9,73.2,29.4625,33.6375,12.4,86.3,29.0291625,25.80915,6,0,-7.911764705882355
52,3.488,3.513,25.1,78.0,31.0125,27.8375,11.2,87.4,24.329974999999997,27.5391,12,0,1.088235294117645
53,3.838,4.038,19.9,81.1,30.9,31.9625,12.4,87.4,27.935225,27.0684,8,1,-1.911764705882355
54,3.875,3.063,19.0,82.2,30.175,30.7125,12.8,90.0,27.64125,26.3126,8,1,10.088235294117645
55,3.713,3.625,20.9,76.1,30.325,29.45,12.2,87.7,25.82765,26.62535,12,0,-3.911764705882355
56,3.763,3.45,19.6,81.5,30.0625,29.6,12.5,88.3,26.1368,26.3046875,7,0,2.588235294117645
